human,rat
UBE2L3,UBE2L3
UBE2N,UBE2N
UBE2V1,UBE2V1
UBE2V2,UBE2V2
UBE3A,UBE3A
SUMO1,SUMO1
UBP1,UBP1
UBTF,UBTF
UCHL1,UCHL1
UCHL3,UCHL3
UPK1B,UPK1B
UCN,UCN
UCP1,UCP1
UCP2,UCP2
UCP3,UCP3
UFD1,UFD1
SLC35A2,SLC35A2
SCGB1A1,SCGB1A1
UGCG,UGCG
UGDH,UGDH
UGP2,UGP2
UGT8,UGT8
UMOD,UMOD
UCK2,UCK2
UMPS,UMPS
COL14A1,COL14A1
UNG,UNG
USP4,USP4
NR1H2,NR1H2
UPP1,UPP1
UPK2,UPK2
UPK3A,UPK3A
UQCRB,UQCRB
UQCRC1,UQCRC1
UQCRC2,UQCRC2
UQCRFS1,UQCRFS1
UQCRH,UQCRH
UROD,UROD
UROS,UROS
USF1,USF1
USF2,USF2
USP1,USP1
USH2A,USH2A
CLRN1,CLRN1
UTRN,UTRN
KDM6A,KDM6A
UVRAG,UVRAG
VARS1,VARS1
VASP,VASP
VAV1,VAV1
VAV2,VAV2
VBP1,VBP1
VCAM1,VCAM1
VCL,VCL
VCP,VCP
VDAC1,VDAC1
VDAC2,VDAC2
VDAC3,VDAC3
VDR,VDR
VEGFA,VEGFA
VEGFB,VEGFB
VEGFC,VEGFC
VGF,VGF
VHL,VHL
VIL1,VIL1
EZR,EZR
VIM,VIM
VIP,VIP
VIPR1,VIPR1
VIPR2,VIPR2
VLDLR,VLDLR
BEST1,BEST1
VPREB1,VPREB1A
TRPV1,TRPV1
VRK1,VRK1
VRK2,VRK2
VSNL1,VSNL1
VTN,VTN
VWF,VWF
WARS1,WARS1
WAS,WAS
ZAN,ZAN
WIPF1,WIPF1
EIF4H,EIF4H
CLIP2,CLIP2
LAT2,LAT2
CORO2A,CORO2A
WEE1,WEE1
WFS1,WFS1
NSD2,NSD2
NELFA,NELFA
WNT1,WNT1
WNT2,WNT2
WNT3,WNT3
WNT5A,WNT5A
WNT6,WNT6
WNT7A,WNT7A
WNT7B,WNT7B
WNT8A,WNT8A
WNT8B,WNT8B
WNT10B,WNT10B
WNT11,WNT11
WNT2B,WNT2B
WNT9A,WNT9A
WNT9B,WNT9B
GET1,GET1
WRN,WRN
WT1,WT1
XBP1,XBP1
XDH,XDH
XK,XK
XPA,XPA
XPC,XPC
XPNPEP1,XPNPEP1
XPNPEP2,XPNPEP2
XPO1,XPO1
XRCC1,XRCC1
XRCC2,XRCC2
XRCC3,XRCC3
XRCC4,XRCC4
XRCC5,XRCC5
YES1,YES1
YY1,YY1
YWHAB,YWHAB
YWHAE,YWHAE
YWHAG,YWHAG
YWHAH,YWHAH
YWHAZ,YWHAZ
ZAP70,ZAP70
SF1,SF1
ZFP36,ZFP36
ZFP37,ZFP37
ZBTB14,ZBTB14
ZFPL1,ZFPL1
ZFX,ZFX
ZIC1,ZIC1
ZIC2,ZIC2
ZIC3,ZIC3
ZNF2,LOC100909998
ZNF3,ZFP113
ZNF711,ZFP711
ZNF7,ZFP7
ZNF8,ZNF8
CNBP,CNBP
ZNF12,ZFP12
ZNF16,ZNF16-PS1
ZNF18,ZFP18
ZNF182,ZFP182
ZNF22,ZFP422
ZNF23,ZFP612
ZNF24,ZFP24
ZSCAN20,ZSCAN20
ZNF32,ZFP637
ZNF35,ZFP105
ZKSCAN1,ZKSCAN1
ZSCAN21,ZSCAN21
MZF1,MZF1
ZBTB25,ZBTB25
ZNF75D,ZFP75D
ZNF76,ZFP523
ZNF91,ZFP619
MKRN3,MKRN3
ZBTB35,ZBTB35
ZNF133,ZFP133
ZNF142,ZFP142
ZNF143,ZFP143
PCGF2,PCGF2
ZBTB16,ZBTB16
ZNF146,ZFP146
TRIM25,TRIM25
ZNF148,ZFP148
ZBTB17,ZBTB17
VEZF1,VEZF1
TRIM26,TRIM26
ZNF174,ZFP174
RNF112,RNF112
ZNF180,ZFP180
RNF113A,RNF113A1
ZNF184,ZFP184
ZNF185,ZFP185
ZSCAN26,ZSCAN26
ZNF189,ZFP189
ZKSCAN8,ZKSCAN8
ZMYM2,ZMYM2
ZNF202,ZFP202
ZNF205,ZFP13
ZNF207,ZFP207
ZNF213,ZFP213
ZFAND5,ZFAND5
ZNF217,ZFP217
ZNF112,ZFP112
ZNF236,ZFP236
SLC30A1,SLC30A1
SLC30A2,SLC30A2
SLC30A3,SLC30A3
SLC30A4,SLC30A4
ZP2,ZP2
ZP3,ZP3
MAP3K12,MAP3K12
ZYX,ZYX
LUZP1,LUZP1
PRDM2,PRDM2
DNALI1,DNALI1
PTP4A1,PTP4A1
LRP8,LRP8
LAPTM5,LAPTM5
BSND,BSND
CSDE1,CSDE1
EVI5,EVI5
DAP3,DAP3
NPHS2,NPHS2
BTG2,BTG2
PXDN,PXDN
ALMS1,ALMS1
MOGS,MOGS
RNF103,RNF103
TUBA1A,TUBA1A
PAX8,PAX8
IL1R2,IL1R2
MALL,MALL
CXCR4,CXCR4
FZD5,FZD5
SCG2,SCG2
BRPF1,BRPF1
IFRD2,IFRD2
MAPKAPK3,MAPKAPK3
SEMA3B,SEMA3B
SLMAP,SLMAP
MANF,MANF
USP7,USP7
RAB7A,RAB7A
KCNAB1,KCNAB1
SLBP,SLBP
ST8SIA4,ST8SIA4
REEP5,REEP5
DEK,DEK
ALDH5A1,ALDH5A1
PRRC2A,PRRC2A
BAG6,BAG6
GPANK1,GPANK1
DDX39B,DDX39B
ABHD16A,ABHD16A
SLC39A7,SLC39A7
HSD17B8,HSD17B8
OR2H2,OR2H2
NELFE,NELFE
LST1,LST1
PLA2G7,PLA2G7
TFEB,TFEB
EPM2A,EPM2A
AIMP2,AIMP2
MAFK,MAFK
FZD3,FZD3
MTERF1,MTERF1
SEM1,SEM1
TFPI2,TFPI2
ST7,ST7
ARHGEF5,ARHGEF5
ZNF212,ZFP212
TUSC3,TUSC3
UBXN8,UBXN8
KAT6A,KAT6A
PSCA,PSCA
GLRA3,GLRA3
NR4A3,NR4A3
BRD3,BRD3
NUP214,NUP214
LHX3,LHX3
STAM,STAM
MLLT10,MLLT10
CUBN,CUBN
CCDC6,CCDC6
NCOA4,NCOA4
SLC25A16,SLC25A16
SHOC2,SHOC2
ADAM12,ADAM12
RASSF7,RASSF7
CSRP3,CSRP3
PDHX,PDHX
FOSL1,FOSL1
CUL5,CUL5
PTP4A2,PTP4A2
FGF23,FGF23
MFAP5,MFAP5
USP5,USP5
MLF2,MLF2
SSPN,SSPN
KMT2D,KMT2D
AAAS,AAAS
FXR1,FXR1
YEATS4,YEATS4
HMGA2,HMGA2
ALX1,ALX1
CDK2AP1,CDK2AP1
IFT88,IFT88
PABPN1,PABPN1
DPF3,DPF3
GPR68,GPR68
TCL1A,TCL1A
AP3B2,AP3B2
ANP32A,ANP32A
ST8SIA2,ST8SIA2
NPRL3,NPRL3
GAN,GAN
SLC7A5,SLC7A5
TAF15,TAF15
RND2,RND2
COIL,COIL
AKAP1,AKAP1
SLC14A2,SLC14A2
MADCAM1,MADCAM1
SF3A2,SF3A2
ELL,ELL
ZNF239,ZFP239
SYMPK,SYMPK
MIA,MIA
CLPP,CLPP
DPF1,DPF1
MKKS,MKKS
GDF5,GDF5
NCOA3,NCOA3
NRIP1,NRIP1
CHAF1B,CHAF1B
GATD3,GATD3A
DGCR6,DGCR6
LZTR1,LZTR1
ESS2,ESS2
SYN3,SYN3
GTPBP6,GTPBP6
PUDP,PUDP
AKAP17A,AKAP17A
PNPLA4,PNPLA4
ZRSR2,ZRSR2
USP11,USP11
USP9X,USP9X
RBM10,RBM10
KDM5C,KDM5C
SMC1A,SMC1A
NAA10,NAA10
F8A1,F8A1
UBL4A,UBL4A
LAGE3,LAGE3
SLC10A3,SLC10A3
TKTL1,TKTL1
KDM5D,KDM5D
EPX,EPX
ARID1A,ARID1A
H3-4,H3F4
DYSF,DYSF
COLQ,COLQ
SERF1A,SERF1
H4C9,H4C8
TRRAP,TRRAP
PICALM,PICALM
SNN,SNN
ACOX2,ACOX2
ACOX3,ACOX3
AXIN1,AXIN1
AXIN2,AXIN2
BAP1,BAP1
BRAP,BRAP
CDC7,CDC7
CDC45,CDC45
EOMES,EOMES
FZD1,FZD1
FZD4,FZD4
FZD6,FZD6
FZD7,FZD7
FZD8,FZD8
FZD9,FZD9
GFI1B,GFI1B
H2AC20,H2AC20
H2BC21,H2BC21
H3C1,H3C1
HYAL3,HYAL3
MAD1L1,MAD1L1
NME5,NME5
PIP5K1A,PIP5K1A
PIP5K1B,PIP5K1B
PIP4K2B,PIP4K2B
PLA2G6,PLA2G6
PLA2G10,PLA2G10
SLC25A11,SLC25A11
SOX14,SOX14
SPARCL1,SPARCL1
SPOP,SPOP
SRPX,SRPX
TAGLN2,TAGLN2
ULK1,ULK1
UXT,UXT
EEA1,EEA1
BCAR3,BCAR3
ANXA9,ANXA9
STX7,STX7
BFSP2,BFSP2
BBOX1,BBOX1
LTBP4,LTBP4
ZNF282,ZFP282
STK24,STK24
NR0B2,NR0B2
UTF1,UTF1
RECK,RECK
SOAT2,SOAT2
CAVIN2,CAVIN2
RASAL1,RASAL1
RAD54L,RAD54L
NSMAF,NSMAF
NCK2,NCK2
GNPAT,GNPAT
DYRK3,DYRK3
DYRK2,DYRK2
DUSP11,DUSP11
DOC2B,DOC2B
DOC2A,DOC2A
DHX16,DHX16
CUL4B,CUL4B
CUL4A,CUL4A
CUL3,CUL3
CUL2,CUL2
CUL1,CUL1
ATRN,ATRN
FOXN1,FOXN1
TTF2,TTF2
TPST2,TPST2
TPST1,TPST1
KLF11,KLF11
TEAD2,TEAD2
SUPT3H,SUPT3H
SMARCA5,SMARCA5
FKBP6,FKBP6
SORBS2,SORBS2
IRS4,IRS4
OGT,OGT
CDC42BPA,CDC42BPA
GPR65,GPR65
HIRIP3,HIRIP3
RAE1,RAE1
OFD1,OFD1
SEMA7A,SEMA7A
CILP,CILP
GALR3,GALR3
GEMIN2,GEMIN2
RGS5,RGS5
MAP4K3,MAP4K3
PRSS12,PRSS12
PPM1D,PPM1D
PPFIBP2,PPFIBP2
PPFIBP1,PPFIBP1
PPFIA4,PPFIA4
RANBP3,RANBP3
PPFIA2,PPFIA2
PPFIA1,PPFIA1
SLC43A1,SLC43A1
PKP4,PKP4
PIK3R3,PIK3R3
PEX3,PEX3
PARG,PARG
CNTNAP1,CNTNAP1
ENC1,ENC1
NIPSNAP1,NIPSNAP1
NDST2,NDST2
MMP23B,MMP23
LIPF,LIPF
KCNAB2,KCNAB2
ITGA10,ITGA10
ITGA8,ITGA8
IKBKG,IKBKG
ELP1,ELP1
IFITM1,IFITM1
HAT1,HAT1
GCM1,GCM1
GAS7,GAS7
DGKZ,DGKZ
DGKE,DGKE
DGKD,DGKD
DDO,DDO
CST7,CST7
YBX3,YBX3
CPZ,CPZ
COPS3,COPS3
CHST1,CHST1
CBX4,CBX4
CAMK1,CAMK1
BCAS1,BCAS1
BARX2,BARX2
API5,API5
AGPS,AGPS
PPFIA3,PPFIA3
LMO4,LMO4
PIR,PIR
CGGBP1,CGGBP1
AP3B1,AP3B1
BLZF1,BLZF1
LGR5,LGR5
MAPKAPK5,MAPKAPK5
BHLHE40,BHLHE40
PIAS1,PIAS1
CDC14B,CDC14B
CDC14A,CDC14A
TCAP,TCAP
CDK10,CDK10
PRPF18,PRPF18
DEGS1,DEGS1
DENR,DENR
THOC5,THOC5
KMO,KMO
YARS1,YARS1
PDXK,PDXK
MADD,MADD
RRP1,RRP1
MKNK1,MKNK1
KHSRP,KHSRP
PDLIM4,PDLIM4
CASK,CASK
PRKRA,PRKRA
STK16,STK16
TMEFF1,TMEFF1
SCARF1,SCARF1
LY6D,LY6D
OR6A2,OR6A2
TNFSF11,TNFSF11
RGS20,RGS20
NOP14,NOP14
FAM193A,FAM193A
SLC25A12,SLC25A12
PLA2G4C,PLA2G4C
RUVBL1,RUVBL1
RDH16,RDH16
KLF7,KLF7
PLPP1,PLPP1
PLPP2,PLPP2
PLPP3,PLPP3
STC2,STC2
USO1,USO1
CADPS,CADPS
NPFF,NPFF
CDK13,CDK13
PDE8B,PDE8B
ASMTL,ASMTL
PSMG1,PSMG1
RFXANK,RFXANK
TP63,TP63
JRK,JRK
HSD17B6,HSD17B6
SKAP1,SKAP1
DNAH17,DNAH17
UNC5C,UNC5C
RTCA,RTCA
RNASET2,RNASET2
SSNA1,SSNA1
EIF4EBP3,EIF4EBP3
OASL,OASL
AOC3,AOC3
DCHS1,DCHS1
PTCH2,PTCH2
KCNK5,KCNK5
CHRD,CHRD
ABCB11,ABCB11
NCOA1,NCOA1
LAMTOR3,LAMTOR3
NUMB,NUMB
SOCS1,SOCS1
DDX3Y,DDX3Y
PDE5A,PDE5A
DYNLL1,DYNLL1
TNKS,TNKS
ALDH4A1,ALDH4A1
IRS2,IRS2
EIF3A,EIF3A
EIF3B,EIF3B
EIF3C,EIF3C
EIF3D,EIF3D
EIF3F,EIF3F
EIF3G,EIF3G
EIF3H,EIF3H
EIF3I,EIF3I
EIF3J,EIF3J
SLC4A4,SLC4A4
EIF4G3,EIF4G3
VAMP8,VAMP8
VAMP4,VAMP4
STX16,STX16
STX11,STX11
BECN1,BECN1
PEA15,PEA15
SRSF9,SRSF9
MARCO,MARCO
KRT36,KRT36
JRKL,JRKL
HYAL2,HYAL2
GALNT4,GALNT4
DGAT1,DGAT1
CDC23,CDC23
S1PR4,S1PR4
DNAH11,DNAH11
B4GALT4,B4GALT4
B4GALT3,B4GALT3
B4GALT2,B4GALT2
B3GALT4,B3GALT4
B3GALNT1,B3GALNT1
B3GALT2,B3GALT2
B3GALT1,B3GALT1
SERPINB7,SERPINB7
TNK1,TNK1
ABCC3,ABCC3
NOL4,NOL4
TRADD,TRADD
TNFRSF25,TNFRSF25
MBTPS1,MBTPS1
EDF1,EDF1
CTSF,CTSF
SNX4,SNX4
SNX3,SNX3
URI1,URI1
EED,EED
CTNNAL1,CTNNAL1
ADAM19,ADAM19
GBF1,GBF1
RNMT,RNMT
RNGTT,RNGTT
GPAA1,GPAA1
MYH13,MYH13
MYOM1,MYOM1
RIPK1,RIPK1
CRADD,CRADD
HRK,HRK
TNFSF14,TNFSF14
TNFSF13,TNFSF13
TNFSF12,TNFSF12
TNFSF10,TNFSF10
TNFSF9,TNFSF9
ADAM23,ADAM23
ADAM21,ADAM21
ADAM18,ADAM18
ADAM15,ADAM15
ADAM9,ADAM9
ADAM7,ADAM7
CDS2,CDS2
PABPC4,PABPC4
CD164,CD164
TNFRSF14,TNFRSF14
RAB11A,RAB11A
RIPK2,RIPK2
FADD,FADD
SNAP23,SNAP23
NAPG,NAPG
NAPA,NAPA
MTMR1,MTMR1
MPDZ,MPDZ
RIOK3,RIOK3
TNFRSF18,TNFRSF18
MATN4,MATN4
RGS11,RGS11
RGS9,RGS9
DLK1,DLK1
FBP2,FBP2
FPGT,FPGT
TNFRSF11A,TNFRSF11A
SCEL,SCEL
DYRK4,DYRK4
PEX11B,PEX11B
PEX11A,PEX11A
SUCLG2,SUCLG2
SUCLG1,SUCLG1
SUCLA2,SUCLA2
CREG1,CREG1
TRIM24,TRIM24
IL18RAP,IL18RAP
IL36R,IL1RL2
IL18R1,IL18R1
GALR2,GALR2
CCNK,CCNK
DPM1,DPM1
CDKL1,CDKL1
BANF1,BANF1
DCAF5,DCAF5
FGF18,FGF18
DPM2,DPM2
SAP30,SAP30
HESX1,HESX1
INPP4B,INPP4B
FGF17,FGF17
FGF16,FGF16
CES2,CES2
LIN7A,LIN7A
IQGAP1,IQGAP1
NRP2,NRP2
NRP1,NRP1
SYNGAP1,SYNGAP1
CD84,CD84
GMPS,GMPS
TMEM11,TMEM11
SOCS2,SOCS2
GGH,GGH
CFLAR,CFLAR
CCN6,CCN6
CCN5,CCN5
CCN4,CCN4
HDAC3,HDAC3
PROM1,PROM1
KSR1,KSR1
ALKBH1,ALKBH1
TSC22D1,TSC22D1
KAT2B,KAT2B
CDK5R1,CDK5R1
AKAP4,AKAP4
ASAP2,ASAP2
ALDH1A2,ALDH1A2
NR1I2,NR1I2
PROZ,PROZ
WHR1,WHR1
LDB1,LDB1
APLN,APLN
PER3,PER3
PER2,PER2
SYNJ1,SYNJ1
ST3GAL5,ST3GAL5
IER3,IER3
SYNJ2,SYNJ2
CDC123,CDC123
ARHGEF7,ARHGEF7
VNN1,VNN1
SPHK1,SPHK1
SQSTM1,SQSTM1
SGPL1,SGPL1
FUBP1,FUBP1
CDC16,CDC16
ZPR1,ZPR1
NAE1,NAE1
SLC5A6,SLC5A6
DDX18,DDX18
TAX1BP1,TAX1BP1
MCM3AP,MCM3AP
EIF2B4,EIF2B4
EIF2B3,EIF2B3
EIF2B2,EIF2B2
EIF2B5,EIF2B5
EIF2S2,EIF2S2
CPNE3,CPNE3
BUD31,BUD31
MTMR3,MTMR3
MTMR2,MTMR2
PRP4K,PRPF4B
CCNA1,CCNA1
CPNE1,CPNE1
AP1S2,AP1S2
AP1G2,AP1G2
AP1M1,AP1M1
ENDOU,ENDOU
SGCE,SGCE
CACNA1I,CACNA1I
CACNA1H,CACNA1H
CACNA1G,CACNA1G
TIMELESS,TIMELESS
BCL10,BCL10
HERC3,HERC3
HERC2,HERC2
HERC1,HERC1
SNURF,SNURF
BSN,BSN
FOXH1,FOXH1
PHOX2B,PHOX2B
MBD4,MBD4
MBD2,MBD2
RAB29,RAB29
SKAP2,SKAP2
WASF1,WASF1
BAIAP3,BAIAP3
FUBP3,FUBP3
TOP3B,TOP3B
CDK5R2,CDK5R2
KYNU,KYNU
AP3D1,AP3D1
BTRC,BTRC
H1-10,H1F10
MGAM,MGAM
CHRNA6,CHRNA6
P4HA2,P4HA2
USP13,USP13
WASL,WASL
PLOD3,PLOD3
RPS6KA4,RPS6KA4
STBD1,STBD1
HSPB3,HSPB3
TRPA1,TRPA1
SELENBP1,SELENBP1
ATP6V0E1,ATP6V0E1
PGLYRP1,PGLYRP1
LIMD1,LIMD1
TNFSF18,TNFSF18
NOL3,NOL3
KALRN,KALRN
CDKL2,CDKL2
HAP1,HAP1
F2RL3,F2RL3
TAF1C,TAF1C
TAF1B,TAF1B
TAF1A,TAF1A
SLC25A14,SLC25A14
MPZL1,MPZL1
MAP3K14,MAP3K14
SOCS3,SOCS3
CLIC3,CLIC3
CH25H,CH25H
BRSK2,BRSK2
RNF8,RNF8
HIP1R,HIP1R
RHBDL1,RHBDL1
BAZ1B,BAZ1B
TM4SF5,TM4SF5
PKD2L1,PKD2L1
CCRL2,CCRL2
SEMA5A,SEMA5A
TAAR5,TAAR5
UBA3,UBA3
UBE2M,UBE2M
SPAG9,SPAG9
BTAF1,BTAF1
RPL14,RPL14
DOK2,DOK2
SH2D2A,SH2D2A
ARTN,ARTN
AIP,AIP
PSTPIP2,PSTPIP2
PSTPIP1,PSTPIP1
GPRC5A,GPRC5A
MAP7,MAP7
NFS1,NFS1
PRC1,PRC1
SLC7A7,SLC7A7
SLC7A6,SLC7A6
SLC13A2,SLC13A2
PAPSS2,PAPSS2
PAPSS1,PAPSS1
PIAS2,PIAS2
MAP3K6,MAP3K6
SYT7,SYT7
ANGPTL1,ANGPTL1
CLDN12,CLDN12
ASH2L,ASH2L
CLDN10,CLDN10
CLDN8,CLDN8
CLDN6,CLDN6
CLDN2,CLDN2
CLDN1,CLDN1
LDB2,LDB2
CLDN9,CLDN9
PKMYT1,PKMYT1
PIGQ,PIGQ
SART1,SART1
DNAJA3,DNAJA3
UNC119,UNC119
TBX19,TBX19
TBX18,TBX18
USP14,USP14
USP2,USP2
USP10,USP10
USP8,USP8
RGN,RGN
MTMR6,MTMR6
MTMR7,MTMR7
MTMR4,MTMR4
NMI,NMI
MTA1,MTA1
LATS1,LATS1
ATP6V0D1,ATP6V0D1
SEC22C,SEC22C
INA,INA
KRT75,KRT75
SLC16A6,SLC16A6
SLC16A5,SLC16A5
SLC16A4,SLC16A4
SLC16A3,SLC16A3
PDLIM1,PDLIM1
CNOT9,CNOT9
SMC3,SMC3
P2RX6,P2RX6
PRPF4,PRPF4
PRPF3,PRPF3
FAM50A,FAM50A
AIFM1,AIFM1
KCNQ4,KCNQ4
CCNB2,CCNB2
CCNE2,CCNE2
RABEP1,RABEP1
RRP9,RRP9
ARHGEF1,ARHGEF1
CBFA2T2,CBFA2T2
ATG12,ATG12
PDCD5,PDCD5
SYNGR3,SYNGR3
SYNGR2,SYNGR2
SYNGR1,SYNGR1
HGS,HGS
NEMF,NEMF
NEURL1,NEURL1
DYRK1B,DYRK1B
CTDP1,CTDP1
SLC6A5,SLC6A5
SLC28A2,SLC28A2
SLC28A1,SLC28A1
EXO1,EXO1
FIBP,FIBP
PCSK7,PCSK7
DGKI,DGKI
EBAG9,EBAG9
COX7A2L,COX7A2L
TMSB10,TMSB10
SCAF11,SCAF11
LPAR2,LPAR2
MYOM2,MYOM2
IL33R,IL1RL1
MAP3K13,MAP3K13
HTR3B,HTR3B
AP4M1,AP4M1
OSMR,OSMR
ARHGEF2,ARHGEF2
RASSF9,RASSF9
ZW10,ZW10
BUB3,BUB3
REPS2,REPS2
SLC24A1,SLC24A1
DDX21,DDX21
DEDD,DEDD
SLC16A7,SLC16A7
KCNAB3,KCNAB3
SLC33A1,SLC33A1
HACD1,HACD1
DCLK1,DCLK1
ZMYM4,ZMYM4
ZMYM3,ZMYM3
ZMYM6,ZMYM6
ZMYM5,ZMYM5
LRRFIP1,LRRFIP1
LRRFIP2,LRRFIP2
BMP15,BMP15
LGI1,LGI1
AURKB,AURKB
XPR1,XPR1
FCMR,FCMR
LARGE1,LARGE1
VAPB,VAPB
VAPA,VAPA
MTA2,MTA2
NOLC1,NOLC1
MAGI1,MAGI1
LRAT,LRAT
DLGAP2,DLGAP2
DLGAP1,DLGAP1
RAB11B,RAB11B
DLG5,DLG5
PTTG1,PTTG1
CCPG1,CCPG1
TBRG4,TBRG4
PNMA1,PNMA1
NOG,NOG
MSC,MSC
CRLF1,CRLF1
GCNT3,GCNT3
UBE2L6,UBE2L6
GCM2,GCM2
GPR50,GPR50
DHRS3,DHRS3
RPS6KA5,RPS6KA5
NUMBL,NUMBL
CACNA2D2,CACNA2D2
AIMP1,AIMP1
TSPOAP1,TSPOAP1
MFHAS1,MFHAS1
PDLIM7,PDLIM7
MAPKAPK2,MAPKAPK2
STK17B,STK17B
CYTH3,CYTH3
CYTH2,CYTH2
CYTH1,CYTH1
ITGB1BP1,ITGB1BP1
PIWIL1,PIWIL1
BCL7C,BCL7C
BCL7B,BCL7B
COPB2,COPB2
WDR46,WDR46
ZBTB22,ZBTB22
MED14,MED14
GPR37L1,GPR37L1
TAAR2,TAAR2
ADGRG1,ADGRG1
GPR55,GPR55
GPR52,GPR52
S1PR2,S1PR2
SRSF11,SRSF11
ATP6V1F,ATP6V1F
SOCS6,SOCS6
CD83,CD83
ZNF235,ZNF235
ASIC3,ASIC3
KCNB2,KCNB2
MMP20,MMP20
KLF4,KLF4
NREP,NREP
PTER,PTER
COPS2,COPS2
TRIP13,TRIP13
TRIP12,TRIP12
TRIP11,TRIP11
TRIP10,TRIP10
HMGN3,HMGN3
TRIP4,TRIP4
ZNHIT3,ZNHIT3
GTF3C5,GTF3C5
GTF3C4,GTF3C4
GTF3C3,GTF3C3
B4GALT6,B4GALT6
CD163,CD163
TGM5,TGM5
B4GALT5,B4GALT5
CNOT8,CNOT8
TCEAL1,TCEAL1
GLP2R,GLP2R
VAMP3,VAMP3
SNAP29,SNAP29
EFTUD2,EFTUD2
TAOK2,TAOK2
NDST3,NDST3
RPL23,RPL23
CER1,CER1
NHERF2,NHERF2
TXNL1,TXNL1
SLIT2,SLIT2
UBE4A,UBE4A
LHX2,LHX2
SLC22A6,SLC22A6
ITGBL1,ITGBL1
PPIG,PPIG
LONP1,LONP1
CPNE6,CPNE6
RAB33A,RAB33A
RAB28,RAB28
KL,KL
RAB9A,RAB9A
NHERF1,NHERF1
NRXN3,NRXN3
ADIPOQ,ADIPOQ
KIF3B,KIF3B
ZFYVE9,ZFYVE9
PLAA,PLAA
PPT2,PPT2
TM9SF2,TM9SF2
SLC22A8,SLC22A8
COX5A,LOC148004154
NRXN1,NRXN1
NRXN2,NRXN2
GRHPR,GRHPR
OTOF,OTOF
COG1,COG1
LIPG,LIPG
SLC22A14,SLC22A14
SLC22A13,SLC22A13
CIAO1,CIAO1
TGFBRAP1,TGFBRAP1
HS6ST1,HS6ST1
NMT2,NMT2
CD101,CD101
STOML1,STOML1
RECQL5,RECQL5
RECQL4,RECQL4
GRAP2,GRAP2
SELENOF,SELENOF
LPXN,LPXN
ZRANB2,ZRANB2
TMPRSS11D,TMPRSS11D
PEX16,PEX16
SNRNP40,SNRNP40
ARHGAP29,ARHGAP29
MED21,MED21
ENTREP1,ENTREP1
TJP2,TJP2
FADS2,FADS2
DDX23,DDX23
CRIPT,CRIPT
CYP7B1,CYP7B1
HAND1,HAND1
NTN1,NTN1
KCNK6,KCNK6
CDYL,CDYL
ECEL1,ECEL1
ABCG2,ABCG2
CHST2,CHST2
NCR1,NCR1
MED23,MED23
MED17,MED17
MED26,MED26
MED27,MED27
MED7,MED7
QKI,QKI
ITM2B,ITM2B
GSTO1,GSTO1
AIM2,AIM2
MAP4K4,MAP4K4
LY86,LY86
EIF2AK3,EIF2AK3
ITM2A,ITM2A
GGPS1,GGPS1
HOMER3,HOMER3
HOMER2,HOMER2
HOMER1,HOMER1
FHL5,FHL5
ARHGEF6,ARHGEF6
RASAL2,RASAL2
PICK1,PICK1
HAND2,HAND2
AKAP7,AKAP7
IL27RA,IL27RA
SH3BP5,SH3BP5
PCYT1B,PCYT1B
CHST3,CHST3
EIF4E2,EIF4E2
AKAP6,AKAP6
THEMIS2,THEMIS2
ATG5,ATG5
ROCK2,ROCK2
NAPSA,NAPSA
MED20,MED20
CABP1,CABP1
MAPK8IP1,MAPK8IP1
ONECUT2,ONECUT2
SLC25A27,SLC25A27
STX8,STX8
CHST10,CHST10
PIGL,PIGL
PIGB,PIGB
PGS1,PGS1
PSMF1,PSMF1
KIF23,KIF23
AKAP5,AKAP5
TBX4,TBX4
SLC4A7,SLC4A7
SLC4A8,SLC4A8
MYOT,MYOT
MAGED1,MAGED1
RPH3AL,RPH3AL
ADAMTS4,ADAMTS4
ADAMTS3,ADAMTS3
ADAMTS2,ADAMTS2
ADAMTS1,ADAMTS1
PMPCB,PMPCB
FXR2,FXR2
GAL3ST1,GAL3ST1
STXBP5L,STXBP5L
LITAF,LITAF
SPTLC2,SPTLC2
GDF15,GDF15
TBPL1,TBPL1
NPEPPS,NPEPPS
EEF1E1,EEF1E1
SCAMP1,SCAMP1
TECR,TECR
VPS4B,VPS4B
MPDU1,MPDU1
GOSR1,GOSR1
TMEM59,TMEM59
BAG5,BAG5
BAG4,BAG4
BAG3,BAG3
BAG2,BAG2
POLR1C,POLR1C
ZNF254,ZFP470
GMFG,GMFG
PTGES,PTGES
TP53I11,TP53I11
EI24,EI24
CIRSR,CIRSR
NRG2,NRG2
IGDCC3,IGDCC3
RAB3D,RAB3D
APBA3,APBA3
CXCL14,CXCL14
ATP6V1G1,ATP6V1G1
ATP5MF,ATP5MF
SPAG7,SPAG7
MRPL33,MRPL33
SEC22B,SEC22B
MACROH2A1,MACROH2A1
ATP5MJ,ATP5MJ
CHD1L,CHD1L
VPS26A,VPS26A
MINPP1,MINPP1
H6PD,H6PD
BCAR1,BCAR1
GTPBP1,GTPBP1
GABBR2,GABBR2
GTF2IRD1,GTF2IRD1
GOSR2,GOSR2
NR1D1,NR1D1
GDF3,GDF3
CLOCK,CLOCK
SPAG6,SPAG6
BABAM2,BABAM2
CDC42BPB,CDC42BPB
SOX13,SOX13
PREPL,PREPL
ENTPD4,ENTPD4
RBM39,RBM39
